position,true_level,rank_广东省,std_广东省,n_广东省,rank_上海市,std_上海市,n_上海市,rank_北京市,std_北京市,n_北京市,norm_广东省,norm_上海市,norm_北京市,norm_max,norm_min,norm_range
地级市|党委|党委常委会/政治局 |书记,正厅,15.3525,1.6487097227832421,22.0,12.1825,1.9960445260564688,14.0,13.7075,3.1822859315278387,16.0,0.2681232043829759,0.26832469775474954,0.29536846302079867,0.29536846302079867,0.2681232043829759,0.02724525863782279
地级市|党委|党委常委会/政治局 |副书记,副厅,5.32,3.6314735301252035,3.0,2.4725,1.8409898831878462,3.0,2.595,2.4961920999794924,2.0,0.0,0.0,0.0,0.0,0.0,0.0
省级|人大|人大常委会|主任,正部,42.7375,1.3504050318330463,3.0,38.66,1.5425303886795914,3.0,38.6675,4.367716079371458,3.0,1.0,1.0,0.9588012492524419,1.0,0.9588012492524419,0.04119875074755808
省级|人大|人大常委会|副主任,副部,32.5025,3.880076513420834,12.0,35.5125,2.4687737340631295,9.0,39.495,3.67355073464353,7.0,0.7264648894233982,0.913022452504318,0.9807960661837994,0.9807960661837994,0.7264648894233982,0.2543311767604013
省级|党委|党委常委会/政治局 |副书记,副部,26.5725,1.7261934277478879,6.0,29.205,2.5725425166554627,6.0,4.425,4.0901558650007415,8.0,0.5679828957038819,0.7387219343696028,0.048641105721310376,0.7387219343696028,0.048641105721310376,0.6900808286482923
省级|党委|党委常委会/政治局 |常委,副部,37.945,1.6528687183197568,16.0,14.8525,1.7566285179285916,20.0,23.7725,3.2366253644807275,10.0,0.8719182200841853,0.34210708117443867,0.5628945444880059,0.8719182200841853,0.34210708117443867,0.5298111389097466
省级|党委|党委常委会/政治局 |秘书长,副部,18.9625,2.085927551474402,4.0,22.8025,5.252950956367285,3.0,20.16,3.59713775104596,4.0,0.36460212467428343,0.5617962003454231,0.4668748754070038,0.5617962003454231,0.36460212467428343,0.19719407567113967
省级|党委|宣传部（党委）|部长,副部,19.86,2.6135033958271445,4.0,21.87,4.183073033070302,4.0,14.5775,6.145241553429773,4.0,0.3885882274336875,0.5360276338514681,0.31849292311781513,0.5360276338514681,0.31849292311781513,0.217534710733653
省级|党委|政法委|政法委书记,副部,32.1375,1.9605085437202254,6.0,30.1725,4.540676574036076,3.0,27.885,4.2103176839758785,4.0,0.7167100955435293,0.7654576856649395,0.6722041331649944,0.7654576856649395,0.6722041331649944,0.09325355249994516
省级|党委|组织部 （党委）|部长,副部,13.61,7.840784399535547,3.0,26.5025,2.75680861686117,5.0,38.1825,4.901958154656157,2.0,0.2215540856551079,0.6640414507772021,0.945910027244335,0.945910027244335,0.2215540856551079,0.7243559415892271
省级|政协|政协常委会|主席,正部,40.4325,1.650891804449949,4.0,36.135,3.3063234868959737,3.0,40.2175,3.1867214735524043,3.0,0.9383978085120599,0.9302245250431778,1.0,1.0,0.9302245250431778,0.06977547495682224
省级|政协|政协常委会|副主席,副部,41.7825,1.7649911472865798,10.0,23.405,2.7876468571180246,6.0,28.5575,8.956098131999227,4.0,0.9744771831362331,0.5784455958549223,0.6900790750215962,0.9744771831362331,0.5784455958549223,0.3960315872813108
省级|政府_国务院|政府/国务院（综合）|副秘书长,正厅,7.395,2.8738432455511576,4.0,8.435,4.948310317674102,10.0,26.4775,8.07988203812407,3.0,0.055455335070488394,0.16476683937823836,0.6347930095022924,0.6347930095022924,0.055455335070488394,0.5793376744318041
省级|行业协会_人民团体|总工会|主席,副部,38.535,4.150153611614876,2.0,22.87,9.468532093202201,2.0,26.185,7.843199283455698,3.0,0.8876862430680831,0.5636614853195164,0.6270184065386404,0.8876862430680831,0.5636614853195164,0.32402475774856665
